iter	Passed	Remaining
0	138	137891
1	138	69323
2	139	46417
3	140	34987
4	141	28082
5	141	23504
6	142	20221
7	143	17755
8	143	15834
9	144	14302
10	145	13050
11	145	11997
12	146	11115
13	146	10348
14	147	9684
15	148	9105
16	148	8596
17	149	8136
18	149	7730
19	150	7370
20	151	7044
21	151	6744
22	152	6471
23	152	6221
24	153	5987
25	154	5773
26	154	5579
27	155	5393
28	155	5221
29	156	5060
30	157	4911
31	157	4768
32	158	4635
33	158	4510
34	159	4391
35	159	4282
36	160	4176
37	161	4077
38	161	3982
39	162	3892
40	162	3806
41	163	3725
42	163	3649
43	164	3576
44	165	3507
45	165	3441
46	166	3378
47	167	3319
48	168	3262
49	168	3205
50	169	3151
51	170	3100
52	170	3049
53	171	3001
54	172	2956
55	172	2912
56	173	2870
57	174	2828
58	174	2789
59	175	2750
60	176	2712
61	176	2676
62	177	2641
63	178	2608
64	178	2574
65	179	2542
66	180	2510
67	180	2475
68	181	2445
69	181	2416
70	182	2389
71	183	2362
72	183	2335
73	184	2309
74	185	2283
75	185	2258
76	186	2234
77	186	2210
78	187	2186
79	188	2163
80	188	2140
81	189	2119
82	190	2100
83	190	2081
84	191	2059
85	191	2039
86	192	2019
87	193	2000
88	193	1982
89	194	1964
90	194	1947
91	195	1929
92	196	1912
93	196	1896
94	197	1880
95	197	1864
96	198	1848
97	199	1833
98	199	1818
99	200	1803
100	201	1789
101	201	1772
102	201	1758
103	202	1744
104	203	1730
105	203	1717
106	204	1704
107	204	1691
108	205	1679
109	206	1667
110	206	1656
111	207	1645
112	208	1633
113	208	1622
114	209	1611
115	209	1599
116	210	1589
117	211	1578
118	211	1567
119	212	1557
120	212	1547
121	213	1537
122	214	1525
123	214	1516
124	215	1506
125	215	1497
126	216	1488
127	217	1478
128	217	1469
129	218	1461
130	218	1452
131	219	1444
132	220	1436
133	221	1428
134	221	1420
135	222	1412
136	222	1404
137	223	1395
138	224	1388
139	224	1381
140	225	1373
141	226	1365
142	226	1358
143	227	1351
144	228	1344
145	228	1337
146	229	1330
